Column1,name,ジャンル,その他ジャンル,都道府県,住所,電話番号,最寄り駅,Googleマップ,ウェブサイト,Twitter,Facebook,Instagram,normalized_name,name_count_norm,is_chain
2810.0,ネコノテシャ,喫茶店・カフェ,,福岡県,福岡県うきは市浮羽町西隈上５−２　コーポ平川　1号,9052905551.0,うきは駅,https://goo.gl/maps/SxgMaVsywo8DKfir5,,,https://facebook.com/nekonote48/,https://www.instagram.com/nekonote48/,ネコノテシャ,2.0,False
2811.0,むらちゃん農園,その他,いちご農園　カフェ,静岡県,静岡県浜松市中区花川町1667,9054582797.0,浜松駅,https://goo.gl/maps/2jZhcsvXXSU7XPq1A,,,,,むらちゃん農園,2.0,False
2812.0,レストラン中台,洋食,,茨城県,茨城県土浦市桜町2丁目12-3,298221068.0,土浦駅,https://g.page/Restaurantsnakadai?share,https://www.r-nakadai.com/,https://twitter.com/nakadai4311,https://facebook.com/r.nakadai/,,レストラン中台,2.0,False
2813.0,備長炭炭火焼鳥.鶏出汁おでん影「kage」,焼き鳥,焼鳥、おでん、鶏ザンギ等の揚げ物各種,北海道,北海道虻田郡倶知安町北2条西1丁目大協ビル2Ｆ,9060072227.0,倶知安駅,https://maps.app.goo.gl/5L9BcvY4D8Y4GdRt6,,,https://www.facebook.com/Kage.jp/,,備長炭炭火焼鳥.鶏出汁おでん影「kage」,2.0,False
2814.0,特級鶏蕎麦　龍介,ラーメン・つけ麺,つけ麺,茨城県,茨城県土浦市永国778,298239745.0,土浦,"https://maps.google.com/maps?ll=36.061382,140.180336&z=14&t=m&hl=ja&gl=US&mapclient=embed&q=%E3%80%92300-0817%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%E5%9C%9F%E6%B5%A6%E5%B8%82%E6%B0%B8%E5%9B%BD%EF%BC%97%EF%BC%97%EF%BC%98",,,,,特級鶏蕎麦 龍介,2.0,False
2815.0,ステーキ酒場 飯之泉,居酒屋・ダイニングバー,,茨城県,茨城県守谷市百合ケ丘2丁目2542,9061239109.0,守谷駅,https://goo.gl/maps/his6ANe2CjAbQks39,,https://twitter.com/iizumi_sakaba,,,ステーキ酒場 飯之泉,2.0,False
2816.0,ザキ屋,居酒屋・ダイニングバー,,東京都,東京都武蔵野市緑町1-5-21,9061433799.0,三鷹駅,https://goo.gl/maps/WXN2b8KdqZMGnJZdA,,,,,ザキ屋,2.0,False
2817.0,BANANA CAFE,カフェレストラン,,埼玉県,埼玉県さいたま市見沼区大字南中野４５７−１０イシダコーポマンション103号,9061938296.0,大和田駅,https://goo.gl/maps/h79SnDkiwJ5ZGLVz5,http://cafebanana.web.fc2.com/,https://twitter.com/bananacafe03,https://www.facebook.com/arisu.minmin/,,BANANA CAFE,2.0,False
2818.0,俺の生きる道,ラーメン・つけ麺,スープなし麺,茨城県,茨城県つくば市吾妻３丁目１２−１,298284977.0,つくば,"https://maps.google.com/maps?ll=36.090358,140.111495&z=14&t=m&hl=ja&gl=US&mapclient=embed&q=%E3%80%92305-0031%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%E3%81%A4%E3%81%8F%E3%81%B0%E5%B8%82%E5%90%BE%E5%A6%BB%EF%BC%93%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%92%E2%88%92%EF%BC%91",,,,,俺の生きる道,3.0,False
2819.0,ふたつの彗星,ステーキ・ハンバーグ,,福岡県,福岡県うきは市吉井町８−５,9066337975.0,筑後吉井駅,https://goo.gl/maps/26UjVX9jhzYbaDHg9,,,,https://www.instagram.com/futatsu_no_suisei/,ふたつの彗星,2.0,False
